label,message
spam,Win a free iPhone now! Click here to claim your prize
ham,Hey are you coming to the meeting tomorrow
spam,Congratulations you have been selected for a cash reward of 10000
ham,Can you send me the notes from class today
spam,URGENT Your account has been compromised click here immediately
ham,I will be late for dinner tonight
spam,You have won a lottery of 1 million dollars claim now
ham,What time does the movie start
spam,Free gift cards available limited time offer click now
ham,Mom called she wants you to call back
spam,Make money fast from home no experience needed
ham,Did you finish the assignment for tomorrow
spam,Your package is on hold click to verify your address
ham,Let us meet at the coffee shop at 5 pm
spam,Earn 500 dollars per day working from home
ham,I have sent you the file please check your email
spam,Special discount only for you buy now and save 80 percent
ham,How was your weekend
spam,You are the lucky winner call this number now
ham,The project deadline is next Friday
spam,Click here to get free access to premium content
ham,Can we reschedule our meeting to Thursday
spam,Your credit card has been charged refund available click here
ham,I am on my way will be there in 10 minutes
spam,Buy cheap medicines online no prescription needed
ham,Happy birthday hope you have a great day
spam,You have a pending payment verify your account now
ham,Thanks for helping me with the assignment
spam,Download free software crack no virus
ham,Are you free this weekend for a get together
spam,You are pre approved for a loan apply now
ham,I forgot my umbrella at your place
spam,Hot singles in your area looking to meet
ham,Can you pick up some groceries on your way home
spam,Act now limited offer expires tonight
ham,Good morning how are you doing today
spam,Your subscription has expired renew now to avoid losing access
ham,See you at the office tomorrow
spam,Double your income in just 30 days guaranteed
ham,I really enjoyed the dinner last night
spam,Free trial no credit card required sign up now
ham,Please review the attached document and give your feedback
spam,You have been chosen for an exclusive deal only 5 spots left
ham,The wifi password is written on the back of the router
spam,Claim your free vacation package worth 5000 dollars now
ham,I think I left my charger at your house
spam,Lowest prices guaranteed buy now before stock runs out
ham,Did you watch the match last night
spam,Your account will be suspended unless you verify now
ham,Let me know when you are free to talk
